No,Student ID,Mid Term,End Term,Lab,Extra
1,18127057,1,1,1,1
2,18127058,2,2,2,2
3,18127059,3,3,9,3
4,18127061,5,1,7,1
5,18127064,3,3,5,1
6,18127077,1,5,3,0
7,18127081,2,7,6,0
8,18127096,3,8,8,1
9,18127102,5,9,4,2
10,18127104,1,9,6,2
11,18127108,2,7,7,1
12,18127122,4,8,3,1
13,18127123,6,9,5,1
14,18127127,8,8,7,0
15,18127129,4,9,2,2
16,18127150,5,9,4,2
17,18127152,5,8,5,3
18,18127160,7,9,2,0
19,18127163,3,7,4,0
20,18127166,3,8,6,1
21,18127174,5,9,8,2
22,18127178,3,6,4,3
23,18127181,2,5,6,1
24,18127182,3,5,3,2
25,18127191,3,7,5,2
26,18127201,1,4,7,1
27,18127203,3,5,8,3
28,18127205,5,6,4,2
29,18127210,6,3,7,2
30,18127214,8,7,2,3
31,18127220,4,4,4,1
32,18127222,6,5,7,0
33,18127224,2,2,2,0
34,18127239,3,4,4,1
35,18127243,4,5,9,2
36,18127249,6,7,10,1
37,18127253,3,8,1,0
38,18127258,54,9,2,2
