No,Student ID,Mid Term,End Term,Lab,Extra
1,18127138,1,1,1,1
2,18127115,2,2,2,2
3,18127119,3,3,9,3
4,18127137,5,1,7,1
5,18127219,3,3,5,1
6,18127241,1,5,3,0
7,18127121,2,7,6,0
8,18127270,3,8,8,1
9,18127213,5,9,4,2
10,18127212,1,9,6,2
11,18127091,2,7,7,1
12,18127230,4,8,3,1
13,18127135,6,9,5,1
14,18127227,8,8,7,0
15,18127090,4,9,2,2
16,18127232,5,9,4,2
17,18127159,5,8,5,3
18,18127107,7,9,2,0
19,18127165,3,7,4,0
20,18127156,3,8,6,1
21,18127114,5,9,8,2
22,18127250,3,6,4,3
23,18127076,2,5,6,1
24,18127086,3,5,3,2
25,18127199,3,7,5,2
26,18127158,1,4,7,1
27,18127128,3,5,8,3
28,18127198,5,6,4,2
29,18127085,6,3,7,2
30,18127245,8,7,2,3
31,18127229,4,4,4,1
32,18127211,6,5,7,0
33,18127089,2,2,2,0
34,18127162,3,4,4,1
35,18127134,4,5,9,2
36,18127190,6,7,10,1
37,18127180,3,8,1,0
38,18127063,54,9,2,2
